author,n,match,gender,titles,ntit,birth,death,prefix1,prefix2
"Владимиров, А. А.",1,ВладимировАА,m,"Тайна каменных оврагов",1,,,ВладимировА,ВладимировАА
"Владимиров, А. В.",5,ВладимировАВ,m,"Кавалер первого ордена; Золотые струны; Рассказы об атмосфере; Земля на зернышке стоит; Рассказы об Иване Федько",5,,,ВладимировА,ВладимировАВ
"Владимиров, Алексей",6,ВладимировАВ,m,"Синий домик у ворот; Красное, желтое, синее; Четверо легендарных; Злое—доброе; Летучие пленники; Рассказы об атмосфере",6,,,ВладимировА,NA
"Владимиров, В.",4,ВладимировВ,m,"Забавная книжка про кошку и мышку; Последний консул; Повесть о школяре Иве",3,,,ВладимировВ,NA
"Владимиров, В. Н.",8,ВладимировВН,m,"Двор; Маленький театр; Мятежники; На горных кручах; На опушке; Про лошадей; Сказка про Павлушку да молока кружку; Трубка дон Алонсо",8,,,ВладимировВ,ВладимировВН
"Владимиров, Г.",1,ВладимировГ,m,"Солдат революции",1,,,ВладимировГ,NA
"Владимиров, И. Тов.",1,ВладимировИТ,m,Фрунзе,1,,,ВладимировИ,ВладимировИТ
"Владимиров, Л. П.",1,ВладимировЛП,m,"Что такое литье?",1,,,ВладимировЛ,ВладимировЛП
"Владимиров, О.",1,ВладимировОА,m,"Познакомьтесь: океан",1,,,ВладимировО,NA
"Владимиров, О. А.",2,ВладимировОА,m,"Познакомьтесь: океан; Занимательная океанология",2,,,ВладимировО,ВладимировОА
"Владимиров, С.",2,ВладимировС,m,"В лесах и степях Африки; У индейцев Верхней Амазонки",2,,,ВладимировС,NA
"Владимиров, Ю.",6,ВладимировЮД,m,"Кошкин дом; Стихи; Самолет; Чудаки; Евсей; Барабан; Ниночкины покупки",7,,,ВладимировЮ,NA
"Владимиров, Ю. Д.",8,ВладимировЮД,m,"Евсей; Мотобот «Профинтерн»; На яхте; Ниночкины покупки; Оркестр; Самолет; Синяя точка; Чудаки",8,,,ВладимировЮ,ВладимировЮД
"Владимирская, Т.",1,ВладимирскаяТ,f,NOTITLE,1,,,ВладимирскаяТ,NA
"Владимирский, В. К.",11,ВладимирскийВК,m,"Володька Кольцов; Голова в клетке; Колька-сподручник; Федька-инженер; Шахта Изумруд",5,,,ВладимирскийВ,ВладимирскийВК
"Владимирский, Н. С.",2,ВладимирскийНС,m,"Подпасок; Сережка-соловей",2,,,ВладимирскийН,ВладимирскийНС
"Владко, В.",8,ВладкоВ,m,"Аргонавты вселенной; Аргонавты Вселенной; Отчего смеялись лошади; Хрум-хрум; Внук старого Грома; Гур-гур; Беседа под кустиком; Загрозил; Лень",9,,,ВладкоВ,NA
"Владко, Владимир",1,ВладкоВ,m,"Фиолетовая гибель",1,,,ВладкоВ,NA
"Владыкина-Бачинская, Н.",4,Владыкина-БачинскаяН,f,"П. И. Чайковский(); Роберт Шуман",2,,,Владыкина-БачинскаяН,NA
"Владыкина-Бачинская, Нина",2,Владыкина-БачинскаяН,f,"П. И. Чайковский(); П. И. Чайковский",2,,,Владыкина-БачинскаяН,NA
"Владыкина, Л. И.",1,ВладыкинаЛИ,f,"Алгоритмы и игры",1,,,ВладыкинаЛ,ВладыкинаЛИ
"Владыкина, Н.",1,ВладыкинаН,f,Чайковский,1,,,ВладыкинаН,NA
"Владычина, Г.",9,ВладычинаГЛ,f,"Морское дно; Необычайная история об изобретении воздушного шара, о великом ученом Монголфье. о шелковой юбке и горящей жаровне; Поедем-ка, друг, на жаркий юг; По советскому союзу; Приметы; Про зверей всяких; Строители; Сказка об Иванушке и Василисе Прекрасной; Чудесный напиток",9,,,ВладычинаГ,NA
"Владычина, Г. Л.",1,ВладычинаГЛ,f,"Сказка об Иванушке и Василисе Прекрасной",1,,,ВладычинаГ,ВладычинаГЛ
"Власенко, Л.",1,ВласенкоЛ,-,"Что умеешь делать ты?",1,,,ВласенкоЛ,NA
